tunecache	1.1.0	1.1.0-e23cd7e4f-sm_86	cpu_arch=x86_64,gpu_arch=sm_86,cuda_version=12.2.140	# Last updated Fri May  9 21:48:22 2025

          volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	aux.x	aux.y	aux.z	aux.w	time	comment
         1x2x2x8	N4quda4blas9axpyZpbx_IfEE	GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,n_rhs=1	256	1	1	56	1	1	0	-1	-1	-1	-1	2.3937e-06	# 5.13 Gflop/s, 25.67 GB/s, tuning took 0.010020 seconds at Wed Apr  2 17:24:43 2025
         1x2x2x8	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=1,Nyw=1,max_nyw_tile=8	128	1	1	1	1	1	0	-1	-1	-1	-1	9.71559e-06	# 1.26 Gflop/s, 2.53 GB/s, tuning took 0.006838 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x8	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=1,Nyw=1,max_nyw_tile=8,norm	128	1	1	1	1	1	0	-1	-1	-1	-1	9.71248e-06	# 1.27 Gflop/s, 2.53 GB/s, tuning took 0.006952 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x8	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=1,Nyw=2,max_nyw_tile=8	128	1	1	1	1	2	0	-1	-1	-1	-1	9.85729e-06	# 2.49 Gflop/s, 4.99 GB/s, tuning took 0.012943 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x8	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=2,Nyw=1,max_nyw_tile=8	128	1	1	1	1	1	0	-1	-1	-1	-1	1.29937e-05	# 1.89 Gflop/s, 2.84 GB/s, tuning took 0.007288 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x8	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=2,Nyw=2,max_nyw_tile=8	128	1	1	1	1	2	0	-1	-1	-1	-1	1.3016e-05	# 3.78 Gflop/s, 5.66 GB/s, tuning took 0.013991 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x8	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=2,Nyw=2,max_nyw_tile=8,norm	128	1	1	1	1	2	0	-1	-1	-1	-1	1.29391e-05	# 3.80 Gflop/s, 5.70 GB/s, tuning took 0.013771 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x8	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=2,Nyw=4,max_nyw_tile=8	128	1	1	1	1	4	0	-1	-1	-1	-1	1.31016e-05	# 7.50 Gflop/s, 11.25 GB/s, tuning took 0.014389 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x8	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=2,Nyw=8,max_nyw_tile=8	128	1	1	1	1	8	0	-1	-1	-1	-1	1.32147e-05	# 14.88 Gflop/s, 22.32 GB/s, tuning took 0.016803 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x8	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=3,Nyw=4,max_nyw_tile=8	128	1	1	1	1	4	0	-1	-1	-1	-1	1.63499e-05	# 9.02 Gflop/s, 12.03 GB/s, tuning took 0.015688 seconds at Wed Apr  2 17:24:50 2025
